Timestamp,Data
1570218545.3517702, 61,923,0,0,23,1017
1570218545.8829603, 59,923,0,0,23,1017
1570218546.4151056, 59,924,0,0,23,1017
1570218546.9548397, 95,921,0,0,23,1017
1570218547.4879925, 191,663,0,0,23,1018
1570218548.0193093, 207,634,0,0,23,1017
1570218548.555324, 207,638,0,0,23,1017
1570218549.0895867, 57,924,0,0,23,1017
1570218549.621522, 62,928,0,0,23,1017
1570218550.15534, 71,931,0,0,23,1018
1570218550.6879296, 62,932,0,0,23,1017
1570218551.2224832, 90,940,0,0,23,1017
1570218551.7538927, 119,939,0,0,23,1018
1570218552.2882094, 115,941,0,0,23,1017
1570218552.8222995, 89,941,0,0,23,1017
1570218553.3564188, 114,942,0,0,23,1017
1570218553.8926837, 112,942,0,0,23,1017
1570218554.429104, 105,942,0,0,23,1017
1570218554.9634209, 83,942,0,0,23,1017
1570218555.4991329, 89,943,0,0,23,1017
1570218556.0339644, 129,898,0,0,23,1018
1570218556.5684872, 148,776,0,0,23,1017
1570218557.1049485, 137,760,0,0,23,1017
1570218557.6396155, 134,723,0,0,23,1017
1570218558.1731682, 155,879,0,0,23,1017
1570218558.7118316, 147,782,0,0,23,1018
1570218559.2442622, 133,788,0,0,23,1017
1570218559.778014, 121,800,0,0,23,1017
1570218560.3086674, 120,806,0,0,23,1017
1570218560.8145535, 117,814,0,0,23,1017
1570218561.3555522, 120,928,0,0,23,1017
1570218561.8907547, 120,932,0,0,23,1017
1570218562.4242501, 118,933,0,0,24,1017
1570218562.958034, 117,934,0,0,23,1017
1570218563.491818, 119,934,0,0,23,1017
1570218564.0247703, 118,934,0,0,23,1017
1570218564.5584204, 121,933,0,0,23,1017
1570218565.0896423, 120,932,0,0,23,1018
