Timestamp,Photo1,Photo2,JoystickX,JoystickY,Sound,Temp
1571521115.3436508, 162,596,91,710,91,710
1571521116.3764544, 162,596,92,710,91,710
1571521116.9053638, 162,596,90,710,91,710
1571521117.425881, 162,596,90,710,89,710
1571521117.9538205, 163,596,90,711,91,710
1571521118.4956536, 162,596,90,710,90,710
1571521119.0395517, 162,596,92,711,92,711
1571521119.5432384, 162,592,90,710,90,710
1571521120.0505588, 162,595,91,710,90,711
1571521120.599024, 162,595,90,711,90,711
1571521121.1227133, 163,595,91,710,91,711
1571521121.6341023, 162,594,91,711,91,711
1571521122.1498392, 162,594,91,711,90,710
1571521122.6746292, 163,594,91,711,91,711
1571521123.1921458, 163,594,91,711,91,711
1571521123.7153575, 163,594,90,711,90,711
1571521124.2393646, 163,591,90,710,91,710
1571521124.7743118, 163,595,93,711,89,711
1571521125.2954612, 163,595,91,711,90,711
1571521125.8360536, 163,595,91,710,90,710
1571521126.3633595, 162,595,90,710,91,711
1571521126.9063802, 163,595,90,710,90,710
1571521127.4407156, 163,595,91,710,90,710
1571521127.9721339, 163,595,89,711,89,711
1571521128.4953432, 162,595,91,711,90,710
1571521129.0269077, 163,595,92,710,91,710
1571521129.5663247, 163,595,91,710,91,711
1571521130.092801, 163,595,91,711,91,712
1571521130.6298203, 163,595,92,711,92,711
1571521131.157281, 163,595,91,710,91,710
1571521131.677898, 163,595,91,711,90,711
1571521132.1995132, 163,595,90,710,90,710
1571521132.7215693, 163,595,91,711,91,710
1571521133.242437, 163,595,90,711,90,711
1571521133.7745013, 163,595,91,711,90,711
1571521134.2959847, 163,595,91,710,90,710
1571521134.8234048, 163,595,91,711,91,711
