Timestamp,Photo1,Photo2,JoystickX,JoystickY,Sound,Temp
1570822033.3578606, 272,611,663,663,91,710
1570822033.8954468, 277,610,665,665,91,709
1570822034.4324336, 271,623,669,669,89,708
1570822034.9690306, 270,628,668,668,90,708
1570822035.5043046, 271,630,666,666,89,709
1570822036.043062, 270,631,668,668,90,708
1570822036.5806825, 270,631,667,667,91,708
1570822037.113631, 270,631,665,665,90,709
1570822037.6530411, 270,631,667,667,90,708
1570822038.187504, 269,631,667,667,90,708
1570822038.7238162, 269,632,667,667,91,708
1570822039.2620277, 268,631,667,667,91,708
1570822039.795775, 268,632,667,667,91,708
1570822040.3307607, 268,632,667,667,90,708
1570822040.8674803, 268,632,667,667,91,708
1570822041.4054043, 268,632,665,665,91,709
1570822041.942589, 268,631,665,665,90,709
1570822042.476821, 268,631,665,665,90,709
1570822043.0113194, 269,631,667,666,91,708
1570822043.547872, 269,631,667,666,91,709
1570822044.083372, 268,631,664,664,91,709
1570822044.6232271, 271,632,667,667,91,709
1570822045.162125, 271,632,666,666,91,709
1570822045.6961486, 271,632,664,665,90,709
1570822046.2325418, 270,632,667,667,91,708
1570822046.7696617, 269,632,667,667,91,708
1570822047.3075285, 269,632,666,666,90,708
1570822047.8452568, 268,632,667,666,91,708
1570822048.3788118, 268,632,666,667,90,708
1570822048.9158733, 267,632,666,666,91,709
1570822049.4621508, 267,632,667,667,91,708
1570822049.9959214, 267,632,666,666,91,709
1570822050.537045, 267,632,664,664,91,709
1570822051.075692, 268,632,666,666,91,709
1570822051.6153162, 267,632,667,667,91,708
1570822052.1536307, 267,633,664,664,91,710
1570822052.6907792, 265,634,666,667,91,708
1570822053.227379, 266,635,664,664,90,710
