Timestamp,Photo1,Photo2,JoystickX,JoystickY,Sound,Temp
1570822100.404061, 266,628,667,666,90,709
1570822100.9430823, 266,628,664,665,89,710
1570822101.4812331, 264,629,665,665,91,710
1570822102.01714, 264,629,667,667,90,709
1570822102.5515275, 266,630,667,667,90,709
1570822103.0901484, 265,630,664,664,89,710
1570822103.6253893, 265,629,667,667,91,709
1570822104.1637394, 265,629,665,665,91,710
1570822104.7021976, 265,629,665,666,91,709
1570822105.2405572, 267,629,667,667,91,709
1570822105.7751603, 266,629,665,665,91,710
1570822106.3119974, 266,629,665,665,92,710
1570822106.8510864, 266,629,667,667,91,709
1570822107.387952, 265,629,666,667,91,709
1570822107.9235106, 265,629,667,667,92,709
1570822108.4599771, 265,629,667,666,90,709
1570822108.99666, 265,629,667,666,91,709
1570822109.531374, 265,629,667,667,91,709
1570822110.071358, 265,629,664,664,91,710
1570822110.6059034, 264,629,664,664,91,710
1570822111.1418295, 264,630,667,667,93,709
1570822111.679095, 264,629,667,666,90,709
1570822112.214965, 264,629,666,666,91,709
1570822112.7554834, 264,629,667,667,89,709
1570822113.2939165, 264,629,665,666,92,710
1570822113.8293664, 264,629,667,667,90,709
1570822114.3679314, 264,628,667,667,91,709
1570822114.9025714, 264,628,667,666,89,709
1570822115.439435, 265,628,667,667,90,709
1570822115.9759235, 265,628,665,665,92,710
1570822116.514327, 265,628,664,665,91,710
1570822117.0488908, 266,629,665,665,91,710
1570822117.563283, 266,629,667,667,90,709
1570822118.0992825, 274,626,666,667,90,709
1570822118.6328142, 280,623,667,667,90,709
1570822119.1721225, 279,622,665,665,91,710
1570822119.7063284, 279,622,666,665,92,710
1570822120.244119, 280,622,667,667,91,709
