Timestamp, Data
1570207222.2330463, 163
1570207222.7448509, 161
1570207223.2602499, 158
1570207223.775482, 159
1570207224.2926185, 162
1570207224.8076556, 159
1570207225.323124, 158
1570207225.8398583, 161
1570207226.3555348, 160
1570207226.8701708, 158
1570207227.3846533, 160
1570207227.9018962, 161
1570207228.4159565, 158
1570207228.931503, 159
1570207229.44841, 162
1570207229.9925346, 158
1570207230.508713, 159
1570207231.0261796, 161
1570207231.5436878, 159
1570207232.0578458, 158
1570207232.5742643, 161
1570207233.0901437, 162
1570207233.6054807, 159
1570207234.1222587, 158
1570207234.6391592, 161
1570207235.1556451, 162
1570207235.6727312, 160
1570207236.1881294, 158
1570207236.703289, 161
1570207237.2191505, 160
1570207237.7351794, 160
1570207238.2559698, 160
1570207238.7722266, 160
1570207239.2927194, 161
1570207239.8100274, 161
1570207240.3245304, 160
1570207240.8397272, 160
1570207241.359759, 160
1570207241.873925, 160
