Timestamp, Data
1570207535.462603, 160
1570207535.977712, 144
1570207536.5045168, 133
1570207537.0223243, 122
1570207537.543604, 122
1570207538.058663, 123
1570207538.5744786, 124
1570207539.0898025, 120
1570207539.6039567, 120
1570207540.119762, 118
1570207540.6388025, 117
1570207541.1574469, 122
1570207541.6718738, 127
1570207542.187377, 125
1570207542.7028217, 124
1570207543.2180665, 126
1570207543.7336497, 127
1570207544.2756054, 134
1570207544.789269, 129
1570207545.3074534, 126
1570207545.8187695, 131
1570207546.3426027, 129
1570207546.8596387, 136
1570207547.3911064, 146
1570207547.909431, 150
1570207548.4264512, 157
1570207548.9397788, 159
1570207549.4535594, 163
1570207549.9689815, 161
1570207550.4898036, 157
1570207551.0057962, 157
1570207551.523278, 156
1570207552.0368085, 156
1570207552.5520122, 156
1570207553.0688548, 156
1570207553.5848186, 156
1570207554.09959, 156
1570207554.6141925, 156
1570207555.1274834, 156
