Timestamp, Data
1570206914.3822494, 161

1570206914.8931906, 178

1570206915.405019, 195

1570206915.913412, 160

1570206916.4253275, 160

1570206916.9374876, 161

1570206917.4485118, 162

1570206917.9576519, 159

1570206918.4689157, 158

1570206918.9794948, 158

1570206919.4893486, 158

1570206920.0015082, 158

1570206920.5144985, 158

1570206921.0255494, 158

1570206921.5384307, 157

1570206922.048737, 158

1570206922.5578783, 158

1570206923.068512, 158

1570206923.5781527, 158

1570206924.0903108, 157

1570206924.6033235, 157

1570206925.1158867, 158

1570206925.6241128, 158

1570206926.1324792, 158

1570206926.6424696, 158

1570206927.153442, 158

1570206927.6667528, 158

1570206928.1770918, 157

1570206928.6851118, 157

1570206929.1990573, 158

1570206929.710868, 158

1570206930.2204628, 159

1570206930.729554, 158

1570206931.241338, 158

1570206931.7524657, 157

1570206932.2609427, 157

1570206932.7699404, 158

1570206933.281212, 158

1570206933.793021, 158

1570206934.3005326, 158

