Timestamp,Photo1,Photo2,JoystickX,JoystickY,Sound,Temp
1571075233.734081, 269,810,81,680,81,681
1571075234.2652128, 269,810,81,684,81,684
1571075234.797876, 269,810,81,683,80,683
1571075235.3296912, 269,810,81,683,81,683
1571075235.8631368, 269,810,81,684,81,684
1571075236.395064, 269,810,81,683,81,682
1571075236.928235, 269,809,81,684,80,683
1571075237.459959, 269,810,81,684,81,684
1571075237.9930944, 269,810,81,684,81,684
1571075238.5249443, 269,810,81,684,81,684
1571075239.057946, 268,810,81,683,81,683
1571075239.5914712, 269,810,81,683,80,682
1571075240.12445, 269,810,81,683,80,683
1571075240.656644, 269,810,81,683,82,683
1571075241.189847, 270,809,81,682,81,683
1571075241.7225344, 269,810,79,682,80,683
1571075242.2541537, 269,810,81,683,81,683
1571075242.7876263, 268,810,82,684,80,682
1571075243.3204112, 268,810,81,683,81,683
1571075243.8517976, 269,810,81,684,81,684
1571075244.3848937, 269,810,81,684,81,684
1571075244.9166825, 269,809,81,684,81,683
1571075245.4498053, 269,809,81,684,81,684
1571075245.9824274, 269,810,81,684,81,684
1571075246.5150504, 269,810,81,684,81,684
1571075247.0466588, 269,810,81,684,81,684
1571075247.5800967, 268,810,81,683,81,684
1571075248.1116245, 269,810,82,683,82,683
1571075248.6445146, 269,810,80,683,81,683
1571075249.1797044, 269,810,81,683,81,684
1571075249.7137399, 269,811,80,681,80,681
1571075250.2453258, 269,810,81,684,81,684
1571075250.7768571, 269,809,81,684,81,684
1571075251.3098276, 268,810,81,684,82,684
1571075251.841808, 268,810,81,683,81,684
1571075252.3750577, 269,810,82,684,81,684
1571075252.9077609, 269,809,81,682,81,682
1571075253.4398923, 269,810,80,683,80,683
