Timestamp, Data
1570207010.7969446, 162

1570207011.3256946, 162

1570207011.8383532, 161

1570207012.3554416, 162

1570207012.8732047, 161

1570207013.3898091, 162

1570207013.9034026, 162

1570207014.4202754, 161

1570207014.9377372, 161

1570207015.4664183, 160

1570207015.981387, 160

1570207016.4978786, 162

1570207017.0130162, 168

1570207017.5323927, 165

1570207018.0446987, 165

1570207018.5613725, 169

1570207019.0781786, 162

1570207019.5989778, 162

1570207020.1226745, 162

1570207020.64053, 161

1570207021.1551275, 161

1570207021.6729307, 162

1570207022.1860273, 162

1570207022.7048602, 162

1570207023.223958, 162

1570207023.7401614, 161

1570207024.2551079, 162

1570207024.7691865, 161

1570207025.2818103, 161

1570207025.7969801, 162

1570207026.3100858, 161

1570207026.8252153, 162

1570207027.3428621, 161

1570207027.86208, 161

1570207028.378701, 161

1570207028.9021645, 161

1570207029.4179516, 162

1570207029.934045, 162

1570207030.4601352, 162

