Timestamp,Data
1570216537.6049078, 203
1570216538.1220407, 202
1570216538.6387334, 202
1570216539.1544304, 203
1570216539.6680117, 208
1570216540.1835043, 195
1570216540.6983383, 197
1570216541.214905, 195
1570216541.7293668, 169
1570216542.2472162, 121
1570216542.763434, 113
1570216543.2823484, 113
1570216543.800558, 114
1570216544.315926, 109
1570216544.8327932, 105
1570216545.3483963, 88
1570216545.8631258, 77
1570216546.3795927, 75
1570216546.896251, 75
1570216547.4141035, 74
1570216547.9287188, 76
1570216548.4465246, 158
1570216548.9605784, 219
1570216549.4772553, 225
1570216549.995323, 172
1570216550.5180113, 173
1570216551.0511703, 183
1570216551.5657222, 134
1570216552.083599, 180
1570216552.5970435, 186
1570216553.116101, 186
1570216553.6295266, 187
1570216554.1466029, 186
1570216554.6646466, 160
1570216555.1837318, 188
1570216555.7007504, 173
1570216556.215252, 165
1570216556.7309988, 163
1570216557.2476287, 164
