Timestamp, Data
1570206680.0835643,239

1570206680.592289,239

1570206681.1000745,240

1570206681.6075394,243

1570206682.1153886,243

1570206682.623461,240

1570206683.1322954,240

1570206683.6438603,239

1570206684.1516888,239

1570206684.65913,239

1570206685.1681519,240

1570206685.6784606,241

1570206686.1871033,241

1570206686.6960707,239

1570206687.2063813,236

1570206687.7151597,242

1570206688.2221982,243

1570206688.7305398,240

1570206689.25337,242

1570206689.766743,241

1570206690.274213,244

1570206690.7825987,246

1570206691.2912633,250

1570206691.7993436,250

1570206692.307588,252

1570206692.8193529,256

1570206693.3265088,258

1570206693.834829,253

1570206694.3429003,254

1570206694.850688,259

1570206695.3590665,169

1570206695.8668098,159

1570206696.374184,157

1570206696.8827484,158

1570206697.3905997,160

1570206697.8985553,171

1570206698.4064648,163

1570206698.9135478,158

1570206699.4227812,156

1570206699.9347303,156

