Timestamp,Photo1,Photo2,JoystickX,JoystickY,Sound,Temp
1570219951.291871, 107,527,519,508,21,1017
1570219951.8311002, 107,526,519,508,21,1017
1570219952.3669786, 107,526,519,508,21,1017
1570219952.9054954, 107,523,519,508,21,1017
1570219953.4423642, 107,522,519,508,20,1017
1570219953.981763, 107,522,519,508,20,1017
1570219954.521434, 107,522,519,508,21,1017
1570219955.0595083, 107,523,519,508,20,1017
1570219955.5992198, 107,523,519,508,21,1018
1570219956.1345263, 108,523,519,508,20,1017
1570219956.6734784, 108,523,519,508,20,1018
1570219957.2109766, 107,525,519,508,20,1017
1570219957.7488267, 107,525,519,508,19,1017
1570219958.2866898, 107,525,519,508,19,1017
1570219958.8207757, 107,525,519,508,19,1017
1570219959.3645854, 107,525,519,508,19,1017
1570219959.905714, 107,525,519,508,19,1017
1570219960.445963, 107,525,519,508,19,1017
1570219960.9827735, 107,525,519,508,19,1017
1570219961.522586, 108,527,519,508,19,1017
1570219962.0588431, 107,525,519,508,19,1017
1570219962.598909, 107,526,519,508,24,1017
1570219963.137372, 107,526,519,508,20,1017
1570219963.675655, 107,525,519,508,18,1017
1570219964.2153704, 107,525,519,508,19,1017
1570219964.7548084, 107,525,519,508,19,1017
1570219965.2914984, 131,512,519,508,19,1018
1570219965.8273342, 108,525,519,508,19,1017
1570219966.3633065, 108,525,519,508,18,1017
1570219966.900381, 108,525,519,508,19,1018
1570219967.438178, 108,525,519,508,19,1017
1570219967.9753842, 108,525,519,508,19,1017
1570219968.515421, 108,524,519,508,19,1017
1570219969.0527163, 115,520,519,508,19,1017
1570219969.5930004, 109,526,519,508,19,1017
1570219970.132159, 110,525,519,508,19,1017
1570219970.673296, 111,528,519,508,19,1017
1570219971.2130702, 111,535,519,508,19,1018
