Timestamp,Photo1,Photo2,JoystickX,JoystickY,Sound,Temp
1571520856.5630302, 174,613,90,711,91,710
1571520857.0930824, 173,612,89,710,88,710
1571520857.617283, 172,612,91,710,90,710
1571520858.1541295, 172,612,90,710,90,710
1571520858.679771, 172,612,91,710,91,710
1571520859.215974, 172,612,88,710,88,710
1571520859.7363088, 171,612,90,710,91,710
1571520860.2646646, 172,611,90,711,90,711
1571520860.769021, 172,611,90,710,91,710
1571520861.3212063, 172,610,89,710,88,710
1571520861.866528, 171,611,90,711,91,710
1571520862.4041047, 171,611,93,711,93,711
1571520862.9452314, 171,609,92,710,92,710
1571520863.4709632, 171,610,91,710,91,710
1571520863.9992325, 172,610,91,710,91,710
1571520864.5297234, 172,610,89,711,89,710
1571520865.0402155, 171,610,90,710,89,710
1571520865.5876687, 171,610,92,711,92,711
1571520866.1298776, 172,610,90,710,89,710
1571520866.6742127, 172,610,91,711,93,710
1571520867.201233, 172,609,91,710,90,710
1571520867.747823, 178,609,92,710,92,710
1571520868.2794356, 189,608,91,710,91,710
1571520868.8125615, 171,610,90,711,90,710
1571520869.3486986, 172,609,90,711,91,710
1571520869.8905225, 171,609,93,711,93,711
1571520870.4374046, 171,609,92,710,91,711
1571520870.973313, 171,609,91,710,90,710
1571520871.509577, 172,609,91,710,91,710
1571520872.060135, 171,610,92,711,92,711
1571520872.5807827, 171,612,91,711,91,710
1571520873.0906963, 171,612,90,710,92,710
1571520873.611698, 171,611,89,710,88,710
1571520874.1328008, 184,609,91,711,91,711
1571520874.6506598, 177,609,91,710,91,711
1571520875.1859717, 173,610,91,710,91,710
1571520875.7155008, 171,610,92,711,92,710
1571520876.2443092, 171,609,91,711,91,711
