Timestamp,Data
1570207887.9867835, 138
1570207888.5080373, 138
1570207889.0291228, 126
1570207889.5533314, 122
1570207890.0732996, 158
1570207890.5931997, 208
1570207891.1085317, 200
1570207891.623516, 213
1570207892.1359987, 305
1570207892.6541247, 347
1570207893.1733105, 200
1570207893.694528, 84
1570207894.211016, 82
1570207894.725357, 82
1570207895.2401547, 82
1570207895.7547731, 81
1570207896.271052, 97
1570207896.7873101, 135
1570207897.3310156, 131
1570207897.8506575, 124
1570207898.3695273, 126
1570207898.89425, 132
1570207899.40903, 136
1570207899.924662, 182
1570207900.4415529, 216
1570207900.9572525, 219
1570207901.484878, 177
1570207901.9889722, 146
1570207902.5069869, 151
1570207903.0208547, 122
1570207903.5423598, 86
1570207904.059036, 85
1570207904.5790887, 87
1570207905.0971513, 96
1570207905.6143975, 117
1570207906.1334848, 120
1570207906.6502533, 122
1570207907.1707492, 127
1570207907.7050338, 133
