Timestamp,Photo1,Photo2,JoystickX,JoystickY,Sound,Temp
1570220319.5925317, 100,592,519,508,88,712
1570220320.1274369, 99,593,519,508,88,713
1570220320.6636958, 99,593,519,508,88,712
1570220321.174423, 99,593,519,508,88,712
1570220321.7135527, 99,593,519,508,87,713
1570220322.253571, 98,593,519,508,88,713
1570220322.7890296, 98,593,519,508,88,712
1570220323.3221414, 98,593,519,508,87,711
1570220323.8582582, 97,594,519,508,87,713
1570220324.3920503, 97,593,519,508,87,712
1570220324.9264202, 98,593,519,508,87,712
1570220325.4608977, 98,594,519,508,86,712
1570220325.9971495, 97,595,519,508,87,712
1570220326.5334587, 97,596,519,508,87,713
1570220327.074407, 98,595,519,508,88,713
1570220327.6143594, 98,594,519,508,87,712
1570220328.1489177, 98,595,519,508,87,713
1570220328.6837978, 98,594,519,508,87,712
1570220329.2203724, 98,594,519,508,88,712
1570220329.7575548, 98,594,519,508,87,712
1570220330.2947948, 104,590,519,508,88,712
1570220330.8316545, 110,588,519,508,87,713
1570220331.3696506, 101,591,519,508,88,712
1570220331.9069033, 99,592,519,508,87,713
1570220332.4415205, 100,591,519,508,87,712
1570220332.9773517, 100,591,519,508,88,712
1570220333.5211685, 100,591,519,508,88,713
1570220334.0595467, 100,592,519,508,88,713
1570220334.5941398, 100,591,519,508,87,712
1570220335.103762, 101,590,519,508,88,713
1570220335.6433191, 101,590,519,508,88,713
1570220336.1809163, 100,591,519,508,88,713
1570220336.7192366, 100,590,519,508,87,713
1570220337.2570922, 100,590,519,508,88,713
1570220337.8028526, 100,590,519,508,88,712
1570220338.342544, 100,591,519,508,88,713
1570220338.8837843, 100,591,519,508,87,712
1570220339.4267354, 100,591,519,508,88,713
