Timestamp,Photo1,Photo2,JoystickX,JoystickY,Sound,Temp
1570219858.4400675, 96,573,519,508,23,1017
1570219858.9790757, 96,572,519,508,23,1018
1570219859.5152347, 96,571,519,508,23,1017
1570219860.0508056, 96,570,519,508,23,1017
1570219860.5898476, 96,572,519,508,23,1017
1570219861.1285307, 96,572,519,508,23,1017
1570219861.6620314, 96,572,519,508,23,1017
1570219862.1956785, 96,572,519,508,23,1017
1570219862.7329562, 96,571,519,508,23,1017
1570219863.2706113, 96,571,519,508,23,1017
1570219863.8085802, 96,567,519,508,23,1017
1570219864.3450632, 97,566,519,508,23,1017
1570219864.8784094, 96,566,519,508,22,1018
1570219865.417512, 97,566,519,508,24,1017
1570219865.953648, 97,566,519,508,23,1017
1570219866.4902518, 97,566,519,508,23,1017
1570219867.0269537, 97,566,519,508,23,1017
1570219867.5634427, 97,563,519,508,24,1017
1570219868.0996056, 97,564,519,508,23,1017
1570219868.6365116, 97,565,519,508,23,1017
1570219869.1736958, 97,565,519,508,23,1017
1570219869.7115967, 98,552,519,508,23,1017
1570219870.2490218, 98,556,519,508,23,1017
1570219870.7874882, 98,556,519,508,23,1017
1570219871.3257442, 98,556,519,508,23,1017
1570219871.861615, 98,555,519,508,23,1017
1570219872.3951988, 98,563,519,508,23,1017
1570219872.9323876, 98,562,519,508,23,1017
1570219873.4701748, 97,564,519,508,23,1018
1570219874.0072942, 98,564,519,508,23,1017
1570219874.5462825, 98,564,519,508,23,1017
1570219875.0833905, 98,564,519,508,23,1018
1570219875.6210089, 98,564,519,508,23,1017
1570219876.155109, 98,564,519,508,23,1017
1570219876.6933863, 98,564,519,508,23,1018
1570219877.2303498, 98,564,519,508,23,1017
1570219877.7669628, 98,564,519,508,23,1017
1570219878.302218, 98,564,519,508,23,1017
