Timestamp,Photo1,Photo2,JoystickX,JoystickY,Sound,Temp
1570219891.1147597, 106,556,519,508,23,1017
1570219891.6554453, 107,556,519,508,23,1017
1570219892.1995003, 107,556,519,508,23,1017
1570219892.7410738, 105,557,519,508,23,1017
1570219893.2770343, 107,556,519,508,23,1018
1570219893.81585, 107,555,519,508,23,1017
1570219894.3542962, 107,556,519,508,23,1017
1570219894.8958447, 107,555,519,508,23,1018
1570219895.4375572, 107,555,519,508,23,1017
1570219895.973159, 107,556,519,508,23,1018
1570219896.510973, 107,555,519,508,23,1018
1570219897.0469928, 107,554,519,508,21,1017
1570219897.586219, 109,552,519,508,23,1017
1570219898.1287436, 108,552,519,508,24,1017
1570219898.6705022, 108,552,519,508,23,1017
1570219899.2072494, 108,552,519,508,23,1017
1570219899.7472336, 108,552,519,508,24,1017
1570219900.2545822, 107,553,519,508,23,1017
1570219900.7917762, 108,552,519,508,23,1017
1570219901.3282406, 110,552,519,508,23,1018
1570219901.8664083, 100,557,519,508,23,1017
1570219902.4030747, 100,557,519,508,23,1017
1570219902.9436738, 104,554,519,508,23,1018
1570219903.4831252, 100,557,519,508,24,1017
1570219904.018998, 100,558,519,508,23,1018
1570219904.5559785, 100,558,519,508,23,1017
1570219905.0945194, 100,559,519,508,23,1017
1570219905.6324534, 100,558,519,508,23,1017
1570219906.17067, 101,554,519,508,23,1018
1570219906.7086062, 100,557,519,508,23,1017
1570219907.246024, 100,557,519,508,23,1017
1570219907.7835681, 100,558,519,508,23,1017
1570219908.3211355, 101,557,519,508,23,1018
1570219908.8566997, 102,557,519,508,23,1018
1570219909.395139, 100,558,519,508,23,1017
1570219909.9352758, 100,558,519,508,23,1017
1570219910.4713998, 100,558,519,508,23,1017
1570219911.008189, 101,558,519,508,23,1017
