,box_name,channel_name,time,value,label
22533,Box0,Lumosity,3/23/2020 15:21,50,2 people
22534,Box0,Color Temp (K),3/23/2020 15:21,3057,2 people
22535,Box0,Audio,3/23/2020 15:21,0.049,2 people
22536,Box0,PIR,3/23/2020 15:21,1,2 people
22501,Box0,Magnet Z,3/23/2020 15:21,-20.87,2 people
22502,Box0,Magnet Y,3/23/2020 15:21,-19.562,2 people
22503,Box0,Magnet X,3/23/2020 15:21,9.875,2 people
22504,Box0,Accel Z,3/23/2020 15:21,9.48,2 people
22505,Box0,Accel Y,3/23/2020 15:21,1.21,2 people
22506,Box0,Accel X,3/23/2020 15:21,2.18,2 people
22507,Box0,Humidity,3/23/2020 15:21,22.393,2 people
22508,Box0,Approx. Altitude,3/23/2020 15:21,-56.962,2 people
22509,Box0,Pressure,3/23/2020 15:21,1020.11,2 people
22510,Box0,Temperature,3/23/2020 15:21,24.28,2 people
22511,Box0,C,3/23/2020 15:21,614,2 people
22512,Box0,B,3/23/2020 15:21,147,2 people
22513,Box0,G,3/23/2020 15:21,167,2 people
22514,Box0,R,3/23/2020 15:21,322,2 people
22515,Box0,Lumosity,3/23/2020 15:21,51,2 people
22516,Box0,Color Temp (K),3/23/2020 15:21,3057,2 people
22517,Box0,Audio,3/23/2020 15:21,0.142,2 people
22518,Box0,PIR,3/23/2020 15:21,1,2 people
22483,Box0,Magnet Z,3/23/2020 15:21,-22.06,2 people
22484,Box0,Magnet Y,3/23/2020 15:21,-19.25,2 people
22485,Box0,Magnet X,3/23/2020 15:21,10.25,2 people
22486,Box0,Accel Z,3/23/2020 15:21,9.47,2 people
22487,Box0,Accel Y,3/23/2020 15:21,1.18,2 people
22488,Box0,Accel X,3/23/2020 15:21,2.19,2 people
22489,Box0,Humidity,3/23/2020 15:21,22.381,2 people
22490,Box0,Approx. Altitude,3/23/2020 15:21,-57.01,2 people
22491,Box0,Pressure,3/23/2020 15:21,1020.116,2 people
22492,Box0,Temperature,3/23/2020 15:21,24.27,2 people
22493,Box0,C,3/23/2020 15:21,615,2 people
22494,Box0,B,3/23/2020 15:21,147,2 people
22495,Box0,G,3/23/2020 15:21,167,2 people
22496,Box0,R,3/23/2020 15:21,322,2 people
22497,Box0,Lumosity,3/23/2020 15:21,51,2 people
22498,Box0,Color Temp (K),3/23/2020 15:21,3063,2 people
22499,Box0,Audio,3/23/2020 15:21,0.303,2 people
22500,Box0,PIR,3/23/2020 15:21,1,2 people
